timestamp,username,source_ip,hostname,event_type,auth_method,port
2026-01-22 15:44:16,hgarcia,10.0.4.7,WORKSTATION-006,SUCCESS,password,138
2026-02-10 12:09:19,rbrown,10.0.5.29,WORKSTATION-001,SUCCESS,password,149
2026-02-14 02:31:45,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-30 16:21:34,pmartinez,10.0.4.7,SERVER-03,SUCCESS,password,428
2026-02-09 15:18:42,rbrown,10.0.4.51,MAILSERVER-01,SUCCESS,password,98
2026-03-14 08:22:50,klee,10.0.2.63,WORKSTATION-012,SUCCESS,password,416
2026-01-29 15:46:33,klee,10.0.1.179,WORKSTATION-017,SUCCESS,password,431
2026-03-25 15:29:55,rbrown,10.0.2.208,WORKSTATION-009,SUCCESS,password,149
2026-02-14 02:33:50,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-22 08:44:53,swang,10.0.0.8,WORKSTATION-008,SUCCESS,password,284
2026-01-11 17:27:22,jsmith,10.0.1.130,WORKSTATION-014,SUCCESS,password,341
2026-03-10 11:44:45,klee,10.0.3.57,WORKSTATION-011,SUCCESS,password,366
2026-01-02 09:16:14,adavis,10.0.3.151,SERVER-05,SUCCESS,password,377
2026-01-11 11:40:27,tjohnson,10.0.1.130,WORKSTATION-001,SUCCESS,password,221
2026-03-02 10:08:33,pmartinez,10.0.5.190,WORKSTATION-001,SUCCESS,password,262
2026-01-26 16:55:38,mwilson,10.0.5.167,WORKSTATION-007,FAILED,password,433
2026-01-01 09:46:29,hgarcia,10.0.4.7,WORKSTATION-003,SUCCESS,password,283
2026-02-01 12:55:04,cnguyen,10.0.0.8,WORKSTATION-012,SUCCESS,password,284
2026-02-24 16:20:59,hgarcia,10.0.0.8,WORKSTATION-007,SUCCESS,password,240
2026-03-15 14:54:57,klee,10.0.5.167,WORKSTATION-018,SUCCESS,password,359
2026-01-15 09:49:32,pmartinez,10.0.2.63,SERVER-05,SUCCESS,password,211
2026-01-15 10:10:23,tjohnson,10.0.1.179,SERVER-04,SUCCESS,password,418
2026-01-09 12:49:25,mwilson,10.0.4.7,SERVER-03,SUCCESS,password,380
2026-01-15 08:59:26,tjohnson,10.0.5.29,WORKSTATION-008,SUCCESS,password,405
2026-02-14 12:42:00,klee,10.0.5.140,WORKSTATION-010,SUCCESS,password,160
2026-03-19 10:56:26,mwilson,10.0.5.29,WORKSTATION-006,SUCCESS,password,250
2026-03-12 15:45:13,jsmith,10.0.5.140,FILESERVER-01,SUCCESS,password,434
2026-02-15 08:11:17,hgarcia,10.0.4.51,WORKSTATION-005,SUCCESS,password,428
2026-02-14 02:30:45,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-14 09:27:06,tjohnson,10.0.1.36,WORKSTATION-015,SUCCESS,password,233
2026-02-05 16:35:30,mwilson,10.0.0.8,WORKSTATION-010,SUCCESS,password,441
2026-02-14 02:32:35,admin,185.220.101.45,DC-01,FAILED,password,22
2026-01-26 14:08:42,tjohnson,10.0.0.56,WORKSTATION-015,SUCCESS,password,117
2026-03-05 16:29:26,jsmith,10.0.0.190,WORKSTATION-007,SUCCESS,password,398
2026-01-22 13:26:19,pmartinez,10.0.3.57,WORKSTATION-012,SUCCESS,password,96
2026-02-06 10:56:01,swang,10.0.1.179,WORKSTATION-012,SUCCESS,password,202
2026-02-08 09:11:08,adavis,10.0.3.57,WORKSTATION-011,FAILED,password,83
2026-03-04 08:50:57,klee,10.0.4.109,WORKSTATION-016,SUCCESS,password,203
2026-02-13 15:43:33,adavis,10.0.4.7,WORKSTATION-005,FAILED,password,362
2026-01-22 14:38:03,jsmith,10.0.5.29,WORKSTATION-007,SUCCESS,password,188
2026-02-14 02:35:45,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-30 11:23:20,rbrown,10.0.5.167,WORKSTATION-002,SUCCESS,password,193
2026-02-09 12:35:08,rbrown,10.0.4.23,WORKSTATION-014,SUCCESS,password,274
2026-01-12 10:31:59,pmartinez,10.0.0.56,WORKSTATION-017,SUCCESS,password,292
2026-02-23 13:22:10,hgarcia,10.0.0.8,SERVER-05,SUCCESS,password,126
2026-03-19 13:32:14,mwilson,10.0.1.36,WORKSTATION-007,SUCCESS,password,201
2026-02-14 02:35:30,admin,185.220.101.45,DC-01,FAILED,password,22
2026-01-14 13:47:04,pmartinez,10.0.4.109,WORKSTATION-012,FAILED,password,165
2026-01-02 10:44:00,adavis,10.0.5.190,WORKSTATION-016,FAILED,password,347
2026-01-15 17:18:20,swang,10.0.5.167,SERVER-02,SUCCESS,password,129
2026-02-18 08:33:47,mwilson,10.0.0.190,WORKSTATION-018,FAILED,password,379
2026-03-24 15:39:11,rbrown,10.0.0.56,SERVER-01,SUCCESS,password,424
2026-01-30 15:02:37,jsmith,10.0.4.7,SERVER-05,SUCCESS,password,231
2026-03-27 15:07:01,pmartinez,10.0.1.179,FILESERVER-01,SUCCESS,password,161
2026-02-20 11:35:20,mwilson,10.0.3.57,WORKSTATION-017,SUCCESS,password,168
2026-02-14 02:36:05,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-22 12:57:19,swang,10.0.5.190,SERVER-04,SUCCESS,password,438
2026-03-13 16:00:02,tjohnson,10.0.5.29,WORKSTATION-008,SUCCESS,password,266
2026-02-14 02:30:15,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-03 17:36:25,cnguyen,10.0.2.63,WORKSTATION-003,SUCCESS,password,196
2026-02-09 14:28:40,klee,10.0.4.51,WORKSTATION-014,SUCCESS,password,279
2026-01-31 13:30:34,swang,10.0.4.109,FILESERVER-01,SUCCESS,password,237
2026-01-22 11:03:06,swang,10.0.5.167,WORKSTATION-011,SUCCESS,password,131
2026-02-14 02:31:55,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-30 14:37:36,jsmith,10.0.5.29,WORKSTATION-003,SUCCESS,password,149
2026-01-12 12:28:15,pmartinez,10.0.5.27,WORKSTATION-004,SUCCESS,password,276
2026-02-04 14:26:29,cnguyen,10.0.0.190,SERVER-03,SUCCESS,password,410
2026-01-29 09:40:29,mwilson,10.0.1.179,WORKSTATION-015,SUCCESS,password,398
2026-03-17 10:18:02,rbrown,10.0.0.56,SERVER-04,SUCCESS,password,306
2026-02-15 13:26:21,adavis,10.0.1.130,SERVER-03,SUCCESS,password,162
2026-02-19 09:36:07,swang,10.0.0.8,DC-01,SUCCESS,password,267
2026-02-05 08:23:19,swang,10.0.5.190,WORKSTATION-007,SUCCESS,password,328
2026-03-09 17:50:22,swang,10.0.4.109,SERVER-03,SUCCESS,password,169
2026-02-14 02:32:10,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-14 02:31:00,admin,185.220.101.45,DC-01,FAILED,password,22
2026-01-07 15:35:03,adavis,10.0.5.29,DC-01,SUCCESS,password,122
2026-02-14 02:34:20,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-20 09:16:30,swang,10.0.0.56,WORKSTATION-007,SUCCESS,password,106
2026-03-06 09:10:15,klee,10.0.5.190,WORKSTATION-018,SUCCESS,password,81
2026-03-14 12:26:50,tjohnson,10.0.1.130,WORKSTATION-012,SUCCESS,password,230
2026-01-17 15:05:51,pmartinez,10.0.1.130,SERVER-03,SUCCESS,password,113
2026-03-05 13:16:05,adavis,10.0.4.7,SERVER-03,FAILED,password,164
2026-02-14 02:32:25,admin,185.220.101.45,DC-01,FAILED,password,22
2026-01-31 15:28:21,tjohnson,10.0.1.179,SERVER-03,SUCCESS,password,379
2026-03-12 10:15:06,rbrown,10.0.5.27,WORKSTATION-009,SUCCESS,password,388
2026-02-02 11:00:00,pmartinez,10.0.2.63,WORKSTATION-004,SUCCESS,password,422
2026-03-05 11:04:00,swang,194.165.16.72,DC-01,FAILED,password,389
2026-02-20 15:56:08,swang,10.0.3.151,WORKSTATION-015,SUCCESS,password,137
2026-01-04 08:02:08,swang,10.0.1.130,FILESERVER-01,SUCCESS,password,313
2026-02-14 02:30:35,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-20 16:06:03,pmartinez,10.0.2.208,MAILSERVER-01,SUCCESS,password,127
2026-03-18 10:08:02,rbrown,10.0.0.56,MAILSERVER-01,SUCCESS,password,151
2026-01-01 13:22:53,tjohnson,10.0.0.56,WORKSTATION-018,SUCCESS,password,439
2026-03-05 11:06:30,root,194.165.16.72,DC-01,FAILED,password,389
2026-02-03 15:22:48,mwilson,10.0.4.23,WORKSTATION-006,FAILED,password,286
2026-02-25 11:30:19,pmartinez,10.0.2.63,WORKSTATION-013,FAILED,password,97
2026-03-12 17:55:09,klee,10.0.1.130,WORKSTATION-003,SUCCESS,password,152
2026-03-24 13:05:34,pmartinez,10.0.4.23,WORKSTATION-002,SUCCESS,password,424
2026-02-14 02:31:50,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-17 11:06:02,adavis,10.0.0.195,SERVER-02,SUCCESS,password,416
2026-02-03 14:07:18,adavis,10.0.0.195,WORKSTATION-016,SUCCESS,password,237
2026-03-05 11:48:18,pmartinez,10.0.1.130,WORKSTATION-010,SUCCESS,password,125
2026-02-26 09:59:06,hgarcia,10.0.0.195,DC-01,SUCCESS,password,226
2026-01-31 14:46:54,adavis,10.0.4.109,WORKSTATION-002,SUCCESS,password,302
2026-01-14 11:21:26,mwilson,10.0.0.195,WORKSTATION-015,SUCCESS,password,172
2026-02-21 11:19:51,tjohnson,10.0.3.57,MAILSERVER-01,SUCCESS,password,427
2026-03-02 10:35:47,hgarcia,10.0.2.208,WORKSTATION-014,SUCCESS,password,406
2026-02-28 16:08:20,mwilson,10.0.1.179,WORKSTATION-011,SUCCESS,password,395
2026-03-23 17:24:51,rbrown,10.0.1.130,WORKSTATION-015,SUCCESS,password,413
2026-02-19 09:06:10,rbrown,10.0.2.208,WORKSTATION-018,SUCCESS,password,113
2026-01-07 12:23:14,tjohnson,10.0.0.190,SERVER-03,SUCCESS,password,264
2026-01-06 13:04:21,hgarcia,10.0.1.36,WORKSTATION-018,SUCCESS,password,225
2026-02-27 17:12:29,pmartinez,10.0.1.36,WORKSTATION-005,SUCCESS,password,282
2026-02-05 12:37:24,pmartinez,10.0.4.7,WORKSTATION-004,SUCCESS,password,321
2026-01-06 10:47:26,klee,10.0.3.151,WORKSTATION-004,SUCCESS,password,323
2026-02-25 06:36:58,svc_backup,109.174.142.40,SERVER-05,SUCCESS,password,3389
2026-03-22 12:04:41,rbrown,10.0.2.63,SERVER-01,SUCCESS,password,276
2026-02-24 08:35:29,pmartinez,10.0.0.56,SERVER-05,SUCCESS,password,210
2026-03-25 17:26:23,cnguyen,10.0.2.208,SERVER-03,SUCCESS,password,321
2026-03-20 10:06:58,cnguyen,10.0.1.36,WORKSTATION-017,SUCCESS,password,178
2026-01-14 16:23:25,hgarcia,10.0.1.130,SERVER-02,SUCCESS,password,138
2026-02-14 16:04:18,swang,10.0.2.63,WORKSTATION-009,SUCCESS,password,377
2026-03-26 15:06:33,adavis,10.0.5.140,WORKSTATION-001,SUCCESS,password,289
2026-01-08 13:45:42,rbrown,10.0.4.51,WORKSTATION-019,SUCCESS,password,234
2026-01-01 16:42:53,adavis,10.0.4.7,WORKSTATION-018,SUCCESS,password,391
2026-03-01 16:49:30,klee,10.0.5.140,WORKSTATION-014,SUCCESS,password,383
2026-02-14 02:33:15,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-14 10:51:29,adavis,10.0.3.151,WORKSTATION-018,SUCCESS,password,306
2026-02-07 11:28:48,klee,10.0.0.8,WORKSTATION-011,SUCCESS,password,373
2026-01-05 15:03:10,adavis,10.0.0.195,WORKSTATION-014,SUCCESS,password,282
2026-01-08 10:09:14,swang,10.0.4.51,SERVER-04,SUCCESS,password,189
2026-01-13 14:34:45,mwilson,10.0.4.109,WORKSTATION-017,SUCCESS,password,422
2026-01-04 10:38:20,hgarcia,10.0.1.179,WORKSTATION-008,SUCCESS,password,133
2026-03-20 15:33:22,jsmith,10.0.0.195,WORKSTATION-008,FAILED,password,131
2026-03-25 10:29:07,cnguyen,10.0.3.151,WORKSTATION-015,SUCCESS,password,84
2026-01-13 17:54:31,hgarcia,10.0.1.130,SERVER-03,SUCCESS,password,103
2026-01-02 14:07:22,rbrown,10.0.1.179,WORKSTATION-007,SUCCESS,password,412
2026-02-13 13:16:23,adavis,10.0.4.7,WORKSTATION-018,SUCCESS,password,211
2026-01-30 12:23:32,rbrown,10.0.3.57,WORKSTATION-015,SUCCESS,password,320
2026-01-23 11:46:08,jsmith,10.0.4.23,SERVER-05,SUCCESS,password,338
2026-03-12 13:59:29,mwilson,10.0.1.179,WORKSTATION-019,SUCCESS,password,273
2026-01-17 12:22:20,swang,10.0.3.151,WORKSTATION-016,SUCCESS,password,308
2026-03-05 11:03:00,cnguyen,194.165.16.72,DC-01,FAILED,password,389
2026-03-04 09:47:43,cnguyen,10.0.5.27,WORKSTATION-001,SUCCESS,password,249
2026-02-02 12:03:32,tjohnson,10.0.4.109,WORKSTATION-018,SUCCESS,password,286
2026-03-13 09:35:57,mwilson,10.0.2.63,WORKSTATION-011,SUCCESS,password,394
2026-02-14 02:34:30,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-14 16:24:15,tjohnson,10.0.3.151,FILESERVER-01,SUCCESS,password,436
2026-01-05 13:50:03,jsmith,10.0.0.56,WORKSTATION-012,SUCCESS,password,154
2026-03-24 10:42:41,jsmith,10.0.5.190,WORKSTATION-011,SUCCESS,password,304
2026-01-27 15:04:45,tjohnson,10.0.0.56,WORKSTATION-008,SUCCESS,password,243
2026-02-14 02:32:20,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-16 10:34:14,jsmith,10.0.5.27,SERVER-05,SUCCESS,password,359
2026-03-03 12:53:47,swang,10.0.0.8,WORKSTATION-019,SUCCESS,password,169
2026-01-18 17:38:29,swang,10.0.0.195,WORKSTATION-014,SUCCESS,password,407
2026-02-02 08:07:56,swang,10.0.0.8,WORKSTATION-006,SUCCESS,password,215
2026-02-10 11:41:56,mwilson,10.0.3.151,WORKSTATION-008,SUCCESS,password,358
2026-01-21 10:36:48,klee,10.0.5.190,WORKSTATION-016,SUCCESS,password,125
2026-01-31 16:25:52,rbrown,10.0.2.208,WORKSTATION-016,SUCCESS,password,411
2026-01-22 10:09:04,tjohnson,10.0.0.56,FILESERVER-01,SUCCESS,password,356
2026-03-07 16:18:56,cnguyen,10.0.5.167,FILESERVER-01,SUCCESS,password,134
2026-01-08 15:28:51,tjohnson,10.0.0.195,WORKSTATION-015,SUCCESS,password,335
2026-03-17 14:14:11,adavis,10.0.3.151,WORKSTATION-015,SUCCESS,password,207
2026-02-16 15:07:56,mwilson,10.0.5.167,WORKSTATION-015,SUCCESS,password,213
2026-02-23 08:52:05,swang,10.0.1.179,SERVER-01,SUCCESS,password,340
2026-03-05 11:06:00,svc_monitor,194.165.16.72,DC-01,FAILED,password,389
2026-02-08 09:56:29,jsmith,10.0.0.56,DC-01,SUCCESS,password,247
2026-02-23 15:00:23,adavis,10.0.4.23,WORKSTATION-010,SUCCESS,password,235
2026-03-12 11:34:24,adavis,10.0.4.23,WORKSTATION-007,SUCCESS,password,207
2026-01-02 16:46:17,jsmith,10.0.2.208,WORKSTATION-010,SUCCESS,password,437
2026-03-12 05:38:15,admin,118.63.193.21,WORKSTATION-007,SUCCESS,password,3389
2026-02-13 17:00:57,pmartinez,10.0.2.63,WORKSTATION-001,SUCCESS,password,156
2026-03-30 14:25:24,klee,10.0.0.190,WORKSTATION-019,SUCCESS,password,372
2026-01-12 08:00:36,mwilson,10.0.1.179,WORKSTATION-013,SUCCESS,password,123
2026-02-28 20:59:22,jsmith,118.63.193.21,WORKSTATION-011,SUCCESS,password,3389
2026-02-03 13:52:17,hgarcia,10.0.4.109,SERVER-01,FAILED,password,312
2026-02-06 17:18:29,adavis,10.0.5.27,WORKSTATION-006,SUCCESS,password,252
2026-03-21 08:48:46,swang,10.0.5.140,WORKSTATION-018,SUCCESS,password,297
2026-02-14 02:36:30,admin,185.220.101.45,DC-01,FAILED,password,22
2026-01-09 17:18:51,cnguyen,10.0.4.109,SERVER-04,SUCCESS,password,217
2026-02-21 13:27:47,swang,10.0.2.208,WORKSTATION-011,SUCCESS,password,312
2026-02-14 02:32:00,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-14 02:30:25,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-27 08:48:43,hgarcia,10.0.0.8,WORKSTATION-019,SUCCESS,password,169
2026-01-12 09:31:12,klee,10.0.1.179,WORKSTATION-007,SUCCESS,password,347
2026-03-14 14:11:12,rbrown,10.0.5.27,FILESERVER-01,SUCCESS,password,267
2026-03-23 15:34:19,tjohnson,10.0.5.190,WORKSTATION-016,SUCCESS,password,108
2026-02-15 11:29:35,pmartinez,10.0.5.27,WORKSTATION-013,SUCCESS,password,386
2026-02-07 10:41:43,mwilson,10.0.5.27,WORKSTATION-003,SUCCESS,password,84
2026-03-19 12:38:14,cnguyen,10.0.5.29,WORKSTATION-018,SUCCESS,password,290
2026-02-13 13:48:17,klee,10.0.1.36,WORKSTATION-005,SUCCESS,password,300
2026-01-28 09:53:12,hgarcia,10.0.0.56,WORKSTATION-008,SUCCESS,password,234
2026-02-28 10:43:28,jsmith,10.0.4.7,WORKSTATION-012,SUCCESS,password,119
2026-02-18 10:02:15,adavis,10.0.5.140,WORKSTATION-015,SUCCESS,password,392
2026-01-30 12:14:07,klee,10.0.4.23,WORKSTATION-011,SUCCESS,password,354
2026-02-14 02:34:15,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-14 02:33:45,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-13 10:31:33,jsmith,10.0.4.51,WORKSTATION-018,SUCCESS,password,213
2026-02-14 02:32:05,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-10 12:18:36,rbrown,10.0.0.8,WORKSTATION-017,FAILED,password,427
2026-03-13 10:54:55,cnguyen,10.0.1.36,SERVER-05,SUCCESS,password,438
2026-02-14 02:33:10,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-10 09:22:59,jsmith,10.0.3.151,WORKSTATION-004,SUCCESS,password,431
2026-03-08 09:31:45,cnguyen,10.0.5.140,WORKSTATION-003,FAILED,password,244
2026-02-19 15:54:31,mwilson,10.0.5.190,WORKSTATION-003,SUCCESS,password,244
2026-01-29 09:30:04,klee,10.0.1.130,WORKSTATION-009,SUCCESS,password,221
2026-02-09 12:02:44,hgarcia,10.0.4.7,WORKSTATION-007,SUCCESS,password,200
2026-02-14 02:30:10,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-20 15:58:17,pmartinez,10.0.5.190,WORKSTATION-019,SUCCESS,password,331
2026-03-17 16:24:28,tjohnson,10.0.5.140,WORKSTATION-010,FAILED,password,299
2026-01-01 09:45:40,tjohnson,10.0.0.190,WORKSTATION-008,SUCCESS,password,96
2026-01-30 15:38:45,klee,10.0.5.167,WORKSTATION-006,SUCCESS,password,259
2026-02-01 11:53:59,klee,10.0.2.63,WORKSTATION-009,FAILED,password,204
2026-02-07 17:12:16,adavis,10.0.0.190,SERVER-04,SUCCESS,password,346
2026-03-29 13:01:21,klee,10.0.0.56,WORKSTATION-010,SUCCESS,password,331
2026-02-07 14:38:08,swang,10.0.0.195,WORKSTATION-013,SUCCESS,password,329
2026-03-05 11:01:30,tjohnson,194.165.16.72,DC-01,FAILED,password,389
2026-01-06 16:51:27,mwilson,10.0.3.57,WORKSTATION-018,SUCCESS,password,257
2026-01-12 16:43:57,rbrown,10.0.0.190,WORKSTATION-006,SUCCESS,password,344
2026-02-14 02:30:50,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-14 02:35:35,admin,185.220.101.45,DC-01,FAILED,password,22
2026-01-15 15:04:30,rbrown,10.0.5.140,SERVER-02,SUCCESS,password,220
2026-03-10 13:20:28,cnguyen,10.0.0.8,WORKSTATION-008,SUCCESS,password,183
2026-02-09 10:19:24,cnguyen,10.0.5.190,DC-01,SUCCESS,password,203
2026-02-15 11:50:30,hgarcia,10.0.5.167,WORKSTATION-007,SUCCESS,password,417
2026-02-14 02:32:50,admin,185.220.101.45,DC-01,FAILED,password,22
2026-01-09 16:28:51,pmartinez,10.0.0.190,WORKSTATION-015,SUCCESS,password,292
2026-03-08 10:56:41,tjohnson,10.0.0.56,WORKSTATION-006,FAILED,password,220
2026-02-15 16:32:05,mwilson,10.0.4.51,WORKSTATION-012,SUCCESS,password,419
2026-01-12 13:45:41,mwilson,10.0.0.190,WORKSTATION-013,FAILED,password,210
2026-01-13 09:01:12,cnguyen,10.0.3.151,WORKSTATION-017,SUCCESS,password,156
2026-03-22 08:05:02,jsmith,10.0.0.195,WORKSTATION-009,SUCCESS,password,372
2026-01-19 11:47:30,mwilson,10.0.0.8,SERVER-05,SUCCESS,password,348
2026-02-20 14:23:55,cnguyen,10.0.0.190,SERVER-04,SUCCESS,password,197
2026-01-03 14:03:10,klee,10.0.0.195,DC-01,FAILED,password,193
2026-02-03 15:06:28,pmartinez,10.0.5.140,WORKSTATION-011,SUCCESS,password,102
2026-01-19 10:31:32,rbrown,10.0.5.140,WORKSTATION-016,FAILED,password,334
2026-01-14 12:46:23,cnguyen,10.0.4.51,WORKSTATION-012,SUCCESS,password,106
2026-02-14 02:31:35,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-20 08:36:22,tjohnson,10.0.2.208,WORKSTATION-009,SUCCESS,password,166
2026-01-19 09:47:48,tjohnson,10.0.3.57,WORKSTATION-008,SUCCESS,password,440
2026-03-05 17:16:16,cnguyen,10.0.2.208,WORKSTATION-014,SUCCESS,password,393
2026-02-04 15:44:42,hgarcia,10.0.5.167,WORKSTATION-004,SUCCESS,password,172
2026-02-14 02:34:10,admin,185.220.101.45,DC-01,FAILED,password,22
2026-01-08 10:03:17,rbrown,10.0.4.51,WORKSTATION-003,SUCCESS,password,172
2026-02-16 10:41:11,jsmith,10.0.1.179,FILESERVER-01,SUCCESS,password,209
2026-02-14 02:36:50,admin,185.220.101.45,DC-01,SUCCESS,password,22
2026-01-24 15:23:37,hgarcia,10.0.3.57,DC-01,SUCCESS,password,359
2026-01-22 15:23:25,hgarcia,10.0.5.140,DC-01,SUCCESS,password,433
2026-03-11 14:50:24,mwilson,10.0.2.63,WORKSTATION-015,FAILED,password,325
2026-03-01 15:12:15,klee,10.0.0.8,WORKSTATION-018,SUCCESS,password,232
2026-01-15 13:01:30,swang,10.0.1.36,WORKSTATION-010,SUCCESS,password,123
2026-02-14 09:51:50,adavis,10.0.5.27,WORKSTATION-004,SUCCESS,password,193
2026-02-14 02:31:25,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-24 16:23:05,cnguyen,10.0.4.51,WORKSTATION-001,SUCCESS,password,143
2026-03-08 17:09:23,pmartinez,10.0.2.63,WORKSTATION-008,SUCCESS,password,126
2026-02-21 11:26:31,tjohnson,10.0.0.190,WORKSTATION-005,SUCCESS,password,127
2026-03-11 12:25:42,tjohnson,10.0.4.7,WORKSTATION-015,FAILED,password,311
2026-03-06 15:55:09,hgarcia,10.0.5.140,WORKSTATION-018,SUCCESS,password,250
2026-01-09 09:16:14,cnguyen,10.0.4.7,WORKSTATION-003,SUCCESS,password,276
2026-02-01 17:30:32,tjohnson,10.0.5.27,WORKSTATION-002,SUCCESS,password,255
2026-02-12 17:25:33,tjohnson,10.0.2.63,WORKSTATION-013,FAILED,password,253
2026-02-21 17:44:37,pmartinez,10.0.0.8,WORKSTATION-002,SUCCESS,password,390
2026-01-14 12:19:17,mwilson,10.0.3.57,WORKSTATION-005,SUCCESS,password,302
2026-02-12 14:47:28,rbrown,10.0.4.51,WORKSTATION-011,FAILED,password,334
2026-01-01 08:44:21,pmartinez,10.0.1.36,WORKSTATION-014,SUCCESS,password,324
2026-02-14 17:38:03,adavis,10.0.0.56,SERVER-03,SUCCESS,password,169
2026-02-17 15:13:21,cnguyen,10.0.1.179,WORKSTATION-005,SUCCESS,password,243
2026-02-09 10:49:54,swang,10.0.3.151,WORKSTATION-019,SUCCESS,password,178
2026-03-14 09:37:06,pmartinez,10.0.3.151,WORKSTATION-005,SUCCESS,password,281
2026-03-26 12:53:40,adavis,10.0.3.151,SERVER-01,SUCCESS,password,271
2026-01-09 13:16:20,pmartinez,10.0.1.36,DC-01,SUCCESS,password,343
2026-03-24 17:43:10,tjohnson,10.0.3.151,WORKSTATION-005,SUCCESS,password,171
2026-03-02 11:31:58,cnguyen,10.0.0.195,WORKSTATION-005,SUCCESS,password,406
2026-03-11 16:40:13,rbrown,10.0.4.23,WORKSTATION-007,SUCCESS,password,228
2026-01-02 16:49:47,rbrown,10.0.0.195,SERVER-05,SUCCESS,password,422
2026-03-03 10:19:43,klee,10.0.4.7,WORKSTATION-001,SUCCESS,password,364
2026-01-01 16:59:10,mwilson,10.0.5.167,SERVER-02,FAILED,password,323
